t_s,x2_control_m,x2_delta_theta2_1e-08_m,x2_delta_theta2_1e-06_m,x2_delta_theta2_0.0001_m,x2_delta_theta2_0.01_m,x2_delta_theta2_2_m
9.300000000000000488e-01,-7.473403132222938838e-01,-7.473403186254999886e-01,-7.473408535424113097e-01,-7.473943416138479900e-01,-7.527067060859095049e-01,-3.253902404504336876e-01
9.400000000000000577e-01,-8.107410018480500913e-01,-8.107410076394728771e-01,-8.107415809898356196e-01,-8.107989121874255023e-01,-8.164933831568109701e-01,-4.084706850249291699e-01
9.500000000000000666e-01,-8.742886994105106835e-01,-8.742887055756916048e-01,-8.742893159281209803e-01,-8.743503470751577966e-01,-8.804122173945393426e-01,-4.892932373320452166e-01
9.599999999999999645e-01,-9.378736519973591701e-01,-9.378736585171136841e-01,-9.378743039722424735e-01,-9.379388450801664501e-01,-9.443485853318822620e-01,-5.678865855695487408e-01
9.699999999999999734e-01,-1.001368906019059590e+00,-1.001368912868246364e+00,-1.001369590937182696e+00,-1.001437393045164548e+00,-1.008169374981487065e+00,-6.443001096482119383e-01
9.799999999999999822e-01,-1.064626299509314755e+00,-1.064626306655099608e+00,-1.064627014087155210e+00,-1.064697752027013999e+00,-1.071718441047991632e+00,-7.185991374291953449e-01
9.899999999999999911e-01,-1.127470496836600056e+00,-1.127470504236007809e+00,-1.127471236776654617e+00,-1.127544484957165416e+00,-1.134809903319105473e+00,-7.908603237334180802e-01
1.000000000000000000e+00,-1.189690382573226346e+00,-1.189690390169743539e+00,-1.189691142224159393e+00,-1.189766340970434433e+00,-1.197218547845816383e+00,-8.611669987963866957e-01
1.010000000000000009e+00,-1.251026979557620100e+00,-1.251026987276548486e+00,-1.251027751449600434e+00,-1.251104160982376090e+00,-1.258666456154658775e+00,-9.296044704318644492e-01
1.020000000000000018e+00,-1.311157011306538500e+00,-1.311157019048825978e+00,-1.311157785534256437e+00,-1.311234424866741577e+00,-1.318805022408968686e+00,-9.962553395210376195e-01
