t_s,x2_control_m,x2_delta_theta2_1e-08_m,x2_delta_theta2_1e-06_m,x2_delta_theta2_0.0001_m,x2_delta_theta2_0.01_m,x2_delta_theta2_2_m
2.500000000000000000e-01,4.918388568917235748e-01,4.918388639789628702e-01,4.918395656156490103e-01,4.919097292457461634e-01,4.989257530056477874e-01,1.007799838119047831e+00
2.600000000000000089e-01,4.839777282570431605e-01,4.839777351691533225e-01,4.839784194680653018e-01,4.840468493875960121e-01,4.908901779388680220e-01,1.010534851065105988e+00
2.700000000000000178e-01,4.758372621944401137e-01,4.758372689266863187e-01,4.758379354190725996e-01,4.759045847479841385e-01,4.825704805719755464e-01,1.013150039574941763e+00
2.800000000000000266e-01,4.674210613175936446e-01,4.674210678654926454e-01,4.674217161075111537e-01,4.674865404564956251e-01,4.739705129414031326e-01,1.015614277858278180e+00
2.899999999999999800e-01,4.587329072295224242e-01,4.587329135888518206e-01,4.587335431624837145e-01,4.587965007244224624e-01,4.650943160318857794e-01,1.017894686137066351e+00
2.999999999999999889e-01,4.497767636168851224e-01,4.497767697836921874e-01,4.497773802976202662e-01,4.498384319354736816e-01,4.559461225048185851e-01,1.019956641089107219e+00
3.099999999999999978e-01,4.405567791559074076e-01,4.405567851265175805e-01,4.405573762169624485e-01,4.406164855474559161e-01,4.465303591825444673e-01,1.021763792266994653e+00
3.200000000000000067e-01,4.310772902163720888e-01,4.310772959873971355e-01,4.310778673189055166e-01,4.311350007914704907e-01,4.368516492291649178e-01,1.023278081608020695e+00
3.300000000000000155e-01,4.213428233188523109e-01,4.213428288871970961e-01,4.213433801533745249e-01,4.213985071234279678e-01,4.269148140073568132e-01,1.024459764935053085e+00
3.400000000000000244e-01,4.113580973181629741e-01,4.113581026810330110e-01,4.113586336052128534e-01,4.114117264011559749e-01,4.167248745859829517e-01,1.025267430093392829e+00
3.500000000000000333e-01,4.011280252910064958e-01,4.011280304459134971e-01,4.011285407817565263e-01,4.011795747649818944e-01,4.062870528697575256e-01,1.025658008696152201e+00
3.599999999999999867e-01,3.906577161009967547e-01,3.906577210457641280e-01,3.906582105777807179e-01,3.907071641949191321e-01,3.956067723152021376e-01,1.025586775779908866e+00
3.699999999999999956e-01,3.799524756057514052e-01,3.799524803385184168e-01,3.799529488825048595e-01,3.799998037091202319e-01,3.846896581984376451e-01,1.025007331947707101e+00
3.800000000000000044e-01,3.690178074702644695e-01,3.690178119894900743e-01,3.690182593928721944e-01,3.690630001678497640e-01,3.735415374377148989e-01,1.023871561027369870e+00
3.900000000000000133e-01,3.578594135817543265e-01,3.578594178862192221e-01,3.578598440282987903e-01,3.579024586785005679e-01,3.621684379335288750e-01,1.022129555750101115e+00
4.000000000000000222e-01,3.464831940387415044e-01,3.464831981275500183e-01,3.464836029196429745e-01,3.465240825737926911e-01,3.505765873900258400e-01,1.019729502586833814e+00
4.100000000000000311e-01,3.348952466628932756e-01,3.348952505354731990e-01,3.348956339209369637e-01,3.349339729123062548e-01,3.387724116179380851e-01,1.016617516175460922e+00
4.199999999999999845e-01,3.231018660355541861e-01,3.231018696916561073e-01,3.231022316457982657e-01,3.231384275031217723e-01,3.267625323072765875e-01,1.012737411957087552e+00
4.299999999999999933e-01,3.111095420397737010e-01,3.111095454794688409e-01,3.111098860093337581e-01,3.111439394354575394e-01,3.145537642508499099e-01,1.008030404328845497e+00
4.400000000000000022e-01,2.989249578819309638e-01,2.989249611056075673e-01,2.989252802496358274e-01,2.989571950874172490e-01,3.021531119979461444e-01,1.002434715776404417e+00
4.500000000000000111e-01,2.865549875633370824e-01,2.865549905716957002e-01,2.865552883992516509e-01,2.865850715843368812e-01,2.895677659255451175e-01,9.958850801056957636e-01
4.600000000000000200e-01,2.740066927937289121e-01,2.740066955877765720e-01,2.740069721985444184e-01,2.740346336989446518e-01,2.768050977833181880e-01,9.883121204487990141e-01
4.700000000000000289e-01,2.612873193835324459e-01,2.612873219645748257e-01,2.612875774878206658e-01,2.613131302300673031e-01,2.638726556459411454e-01,9.796415800145847896e-01
4.799999999999999822e-01,2.484042930260548232e-01,2.484042953956875910e-01,2.484045299893861969e-01,2.484279897711857421e-01,2.507781582955109223e-01,9.697933807358034564e-01
4.899999999999999911e-01,2.353652145120420092e-01,2.353652166721407202e-01,2.353654305219690657e-01,2.353868159115370395e-01,2.375294890546005289e-01,9.586804834359790028e-01
5.000000000000000000e-01,2.221778543732061961e-01,2.221778563259147465e-01,2.221780496441149166e-01,2.221973818663945388e-01,2.241346890818579074e-01,9.462075235633942150e-01
5.100000000000000089e-01,2.088501469588067150e-01,2.088501487065244633e-01,2.088503217306386384e-01,2.088676245407677379e-01,2.106019501404144123e-01,9.322692030921693185e-01
5.200000000000000178e-01,1.953901839363954007e-01,1.953901854817633454e-01,1.953903384732466886e-01,1.954056380178041397e-01,1.969396068489956408e-01,9.167484378059913563e-01
5.300000000000000266e-01,1.818062072102396287e-01,1.818062085561250596e-01,1.818063417988436403e-01,1.818196664655800654e-01,1.831561284298723613e-01,8.995143008910791993e-01
5.400000000000000355e-01,1.681066013058500341e-01,1.681066024553303784e-01,1.681067162539449655e-01,1.681180965101466973e-01,1.692601100284932825e-01,8.804198924589172748e-01
5.500000000000000444e-01,1.542998852659017150e-01,1.542998862222470513e-01,1.542999809005029532e-01,1.543094491219209052e-01,1.552602635977351486e-01,8.593004367599188509e-01
5.600000000000000533e-01,1.403947039763273619e-01,1.403947047429824346e-01,1.403947806419061917e-01,1.404023709323922176e-01,1.411654083592406850e-01,8.359722321727197647e-01
5.700000000000000622e-01,1.263998190363228025e-01,1.263998196168878985e-01,1.263998770929057325e-01,1.264056250962332095e-01,1.269844609174629602e-01,8.102336504930994776e-01
5.799999999999999600e-01,1.123240991741992212e-01,1.123240995724105185e-01,1.123241389953993086e-01,1.123280817003142196e-01,1.127264250440054294e-01,7.818703130190145512e-01
5.899999999999999689e-01,9.817651024206570931e-02,9.817651046177497398e-02,9.817653221305863709e-02,9.817870775291234753e-02,9.840038117513491556e-02,7.506678719071733230e-01
5.999999999999999778e-01,8.396610481416294514e-02,8.396610485931690904e-02,8.396610932962414453e-02,8.396655677811476481e-02,8.401547566273384615e-02,7.164370563945072767e-01
6.099999999999999867e-01,6.970201142450649368e-02,6.970201129912599602e-02,6.970199888652252318e-02,6.970075805091223431e-02,6.958090982023856785e-02,6.790552133405638457e-01
6.199999999999999956e-01,5.539342353258720764e-02,5.539342324074612162e-02,5.539339434855194977e-02,5.539050556139143988e-02,5.510592881206830690e-02,6.385231789124289348e-01
6.300000000000000044e-01,4.104958819670664893e-02,4.104958774251100950e-02,4.104954277722500100e-02,4.104504668880647189e-02,4.059981043320338989e-02,5.950229816558814111e-01
6.400000000000000133e-01,2.667979453615638291e-02,2.667979392372360481e-02,2.667973329296555174e-02,2.667367066554262103e-02,2.607185381254456535e-02,5.489456648172172937e-01
6.500000000000000222e-01,1.229336202687165980e-02,1.229336126031003312e-02,1.229328537079663226e-02,1.228569687618196252e-02,1.153136810180011018e-02,5.008587695093505987e-01
6.600000000000000311e-01,-2.100371322197795536e-03,-2.100372238809081540e-03,-2.100462983240692413e-03,-2.109536961300770286e-03,-3.012338820052659714e-03,4.514150004492515911e-01
6.700000000000000400e-01,-1.649206086333947913e-02,-1.649206192596967130e-02,-1.649216712627582515e-02,-1.650268668346981105e-02,-1.754997157759712045e-02,4.012442543386835481e-01
6.800000000000000488e-01,-3.087236722652464405e-02,-3.087236843121001634e-02,-3.087248769497681622e-02,-3.088441359004635497e-02,-3.207225841414437784e-02,3.508770661328358131e-01
6.900000000000000577e-01,-4.523196819816651532e-02,-4.523196954102788603e-02,-4.523210248422075697e-02,-4.524539631388160843e-02,-4.656996214493497321e-02,3.007168480259900800e-01
7.000000000000000666e-01,-5.956157051634476673e-02,-5.956157199360422039e-02,-5.956171824221663524e-02,-5.957634260601137044e-02,-6.103389094128833237e-02,2.510484207474319995e-01
